iso3,location,code_id,lat,lon,people,accuracy,hazard
USA,Santa Fe Springs,7,33.947,-118.085,29,ADM3,Wildfire
USA,Salem,6,36.371,-91.827,29,ADM3,Flood
BOL,Municipio Apolo,6,-14.589,-68.145,29,ADM3,Flood
PER,Abancay,6,-13.637,-72.879,29,ADM3,Flood
USA,Eastview,6,37.589,-86.056,29,ADM3,Storm
ESP,Bonares,7,37.322,-6.68,29,ADM3,Wildfire
USA,Millstone,6,37.167,-82.752,29,ADM3,Storm
PER,Ongoy,6,-13.403,-73.668,29,ADM3,Flood
PER,Ascensión,6,-12.826,-75.218,29,ADM3,Flood
BOL,Municipio Licoma,6,-16.817,-67.215,29,ADM3,Flood
NGA,Konkol,1,9.616,13.116,28,ADM3,
NGA,Gazabure,1,12.9,12.819,28,ADM3,
GRC,Palaia Peristera,7,38.117,21.655,28,ADM3,Wildfire
USA,McAndrews,6,37.574,-82.268,28,ADM3,Storm
AUS,Marble Bar,6,-21.171,119.746,28,ADM3,Storm
BRA,Cachoeira Grande,6,-2.929,-44.057,28,ADM2,Flood
ARG,Salto,6,-34.292,-60.255,28,ADM3,Flood
YEM,Dhamar Governorate,1,14.54,44.306,28,ADM1,
PER,Ayaviri,6,-14.882,-70.59,28,ADM3,Flood
MYS,Bau,6,1.418,110.155,28,ADM3,Flood
PAN,Distrito Boquete,6,8.741,-82.385,28,ADM2,Landslide/Wet mass movement
ROU,Botoșani,6,47.852,26.76,28,ADM1,Flood
PER,Shilla,6,-9.154,-77.565,28,ADM3,Landslide/Wet mass movement
PER,Tingo De Ponasa,6,-6.97,-76.212,28,ADM3,Storm
PER,Oronccoy,6,-13.346,-73.393,28,ADM3,Flood
BRA,Salto do Céu,6,-15.134,-57.959,28,ADM2,Flood
NGA,Pariya,1,9.381,12.7,28,ADM3,
PER,Ayapata,6,-13.777,-70.323,28,ADM3,Landslide/Wet mass movement
TWN,Hsinchu County,6,24.687,121.15,28,ADM2,Typhoon/Hurricane/Cyclone
PER,Sausa,6,-11.793,-75.483,28,ADM3,Mixed disasters
PER,Sarín,6,-7.919,-77.926,28,ADM3,Flood
PER,Andajes,6,-10.793,-76.909,28,ADM3,Dry mass movement
USA,Ravencliff,6,37.698,-81.481,28,ADM3,Storm
BDI,Kiremba,6,-2.83,30.024,28,ADM2,Storm
PER,San Francisco de Asís,7,-9.977,-76.629,28,ADM3,Wildfire
COL,Municipio de Íquira,6,2.695,-75.674,28,ADM2,Landslide/Wet mass movement
COL,Montelíbano,6,7.761,-75.922,28,ADM2,Flood
GTM,San Gaspar Ixchil,6,15.388,-91.727,28,ADM2,Flood
BDI,Mugozi,6,-3.262,30.496,28,ADM3,Flood
COL,Cereté,6,8.882,-75.822,28,ADM2,Flood
PER,José Crespo y Castillo,6,-8.851,-76.074,28,ADM3,Flood
BRA,Avaré,6,-23.034,-48.888,28,ADM2,Flood
PER,Requena,6,-5.064,-73.856,28,ADM3,Storm
PER,Tournavista,6,-8.931,-74.705,28,ADM3,Flood
PER,Tunan Marca,6,-11.702,-75.62,28,ADM3,Flood
GRC,Afrodisia,7,38.555,25.927,28,ADM3,Wildfire
NGA,Bangshika,6,10.199,12.991,28,ADM3,Flood
USA,Rock View,6,37.618,-81.539,28,ADM3,Storm
COL,San Bernardo del Viento,6,9.335,-75.969,28,ADM2,Flood
COL,Puerto Lleras,6,3.27,-73.373,28,ADM2,Flood
BRA,Major Gercino,6,-27.423,-49.057,28,ADM2,Hailstorm
USA,Louisa,6,38.114,-82.603,28,ADM3,Storm
PER,San Pedro de Larcay,6,-14.169,-73.573,28,ADM3,Flood
BRA,Turmalina,6,-20.06,-50.456,28,ADM2,Hailstorm
PER,Picsi,6,-6.718,-79.77,28,ADM3,Flood
MEX,Jiutepec,6,18.886,-99.17,28,ADM3,Flood
PER,Santa Ana,6,-13.072,-75.14,28,ADM3,Flood
RUS,Novaya Tavolzhanka,1,50.345,36.825,28,ADM3,
PER,Huancaya,6,-12.203,-75.799,28,ADM3,Flood
RUS,Grayvoronsky District,1,50.532,35.658,28,ADM2,
USA,Town of Cedarburg,6,43.323,-88.026,28,ADM3,Flood
IDN,Kumurkek,6,-1.388,132.461,28,ADM2,Flood
PER,Megantoni,6,-11.717,-72.91,28,ADM3,Storm
RUS,Borisovka,1,50.611,36.012,28,ADM3,
ZAF,Nkandla,6,-28.62,31.091,27,ADM3,Storm
IDN,Aceh Timur,6,4.702,97.645,27,ADM2,Tornado
CMR,Diamaré,2,10.663,14.416,27,ADM2,
NGA,Chibok Likama,1,10.916,12.857,27,ADM3,
USA,Maywood,7,33.987,-118.185,27,ADM3,Wildfire
PER,San José del Alto,6,-5.465,-79.018,27,ADM3,Flood
USA,Staffordsville,6,37.83,-82.842,27,ADM3,Storm
BRA,Ilha de Itamaracá,6,-7.747,-34.847,27,ADM2,Erosion
USA,Lockport,6,38.436,-84.967,27,ADM3,Storm
USA,Stanford,6,37.531,-84.662,27,ADM3,Storm
NGA,Karagawaru,1,11.889,12.542,27,ADM3,
GRC,Regional Unit of East Attica,7,37.99,23.98,27,ADM2,Wildfire
IDN,Kuningan,6,-6.981,108.488,27,ADM2,Tornado
GRC,Προφήτης Ηλίας,7,37.69,23.967,27,ADM3,Wildfire
USA,Yeaddiss,6,37.069,-83.218,27,ADM3,Storm
NGA,Makaurachi,2,11.866,7.809,27,ADM3,
PER,Kosñipata,6,-13.113,-71.291,27,ADM3,Flood
IDN,Maba,6,0.697,128.292,27,ADM2,Storm
PER,Cajatambo,6,-10.473,-76.993,27,ADM3,Dry mass movement
NOR,Notodden,6,59.692,9.128,27,ADM3,Storm
USA,Slemp,6,37.079,-83.112,27,ADM3,Storm
PER,Castrovirreyna,6,-13.283,-75.319,27,ADM3,Flood
UKR,Semenivka Raion,1,52.119,32.618,27,ADM2,
BRA,Santa Cecília,6,-26.962,-50.42,27,ADM2,Flood
USA,Playa del Rey,7,33.949,-118.446,27,ADM3,Wildfire
