iso3,conflict,dyad,a,b,code,deaths,events,first,last,adm1s
KEN,Government of Kenya - Civilians,Government of Kenya - Civilians,Government of Kenya,Civilians,4,420,176,1990,2025,29
KEN,Dassanetch - Turkana,Dassanetch - Turkana,Dassanetch,Turkana,2,387,43,1991,2025,2
KEN,Kalenjin - Kikuyu,Kalenjin - Kikuyu,Kalenjin,Kikuyu,2,327,52,1991,2008,3
KGZ,Uzbekistan: Government,Government of Uzbekistan - IMU,Government of Uzbekistan,IMU,1,194,22,1999,2006,3
KGZ,Kyrgyzstan - Tajikistan,Government of Kyrgyzstan - Government of Tajikistan,Government of Kyrgyzstan,Government of Tajikistan,1,104,31,2015,2022,1
KGZ,Kyrgyz - Uzbek,Kyrgyz - Uzbek,Kyrgyz,Uzbek,2,44,25,2010,2010,3
KHM,Cambodia (Kampuchea): Government,Government of Cambodia (Kampuchea) - KR,Government of Cambodia (Kampuchea),KR,1,3193,368,1989,1998,20
KHM,KR - Civilians,KR - Civilians,KR,Civilians,5,673,76,1990,1998,18
KHM,Cambodia (Kampuchea): Government,Government of Cambodia (Kampuchea) - KPNLF,Government of Cambodia (Kampuchea),KPNLF,1,401,22,1989,1991,3
KHM,Cambodia (Kampuchea): Government,Government of Cambodia (Kampuchea) - Forces of Norodom Ranariddh,Government of Cambodia (Kampuchea),Forces of Norodom Ranariddh,1,352,32,1997,1998,5
KHM,Cambodia (Kampuchea): Government,Government of Cambodia (Kampuchea) - FUNCINPEC,Government of Cambodia (Kampuchea),FUNCINPEC,1,293,4,1989,1991,1
KHM,Cambodia (Kampuchea) - Thailand,Government of Cambodia (Kampuchea) - Government of Thailand,Government of Cambodia (Kampuchea),Government of Thailand,1,192,22,1997,2025,2
KWT,Iraq - Kuwait,Government of Iraq - Government of Kuwait,Government of Iraq,Government of Kuwait,1,1504,25,1990,1991,1
KWT,Government of Iraq - Civilians,Government of Iraq - Civilians,Government of Iraq,Civilians,4,286,14,1990,1996,1
KWT,IS - Civilians,IS - Civilians,IS,Civilians,5,26,1,2015,2015,1
LAO,Laos: Government,Government of Laos - LRM,Government of Laos,LRM,1,284,7,1989,2000,5
LAO,Government of Laos - Civilians,Government of Laos - Civilians,Government of Laos,Civilians,4,101,17,1990,2006,6
LBN,Israel: Southern Lebanon,Government of Israel - Hezbollah,Government of Israel,Hezbollah,1,6698,1932,1989,2025,9
LBN,Lebanon: Government,Government of Lebanon - Forces of Michel Aoun,Government of Lebanon,Forces of Michel Aoun,1,1158,79,1989,1990,2
LBN,Forces of Michel Aoun - Lebanese Forces,Forces of Michel Aoun - Lebanese Forces,Forces of Michel Aoun,Lebanese Forces,2,852,44,1989,1990,2
LBN,Amal - Hezbollah,Amal - Hezbollah,Amal,Hezbollah,2,487,59,1989,2000,4
LBN,Lebanon: Islamic State,Government of Lebanon - IS,Government of Lebanon,IS,1,311,44,2014,2020,4
LBN,Hezbollah - SLA,Hezbollah - SLA,Hezbollah,SLA,2,293,185,1989,2000,3
LBR,NPFL - Civilians,NPFL - Civilians,NPFL,Civilians,5,6019,127,1989,1996,14
LBR,Government of Liberia - Civilians,Government of Liberia - Civilians,Government of Liberia,Civilians,4,4240,80,1989,2024,10
LBR,Liberia: Government,Government of Liberia - LURD,Government of Liberia,LURD,1,2601,67,2000,2003,10
LBR,LPC - Civilians,LPC - Civilians,LPC,Civilians,5,2228,56,1993,1996,10
