iso3,conflict,dyad,a,b,code,deaths,events,first,last,adm1s
AFG,Afghanistan: Government,Government of Afghanistan - Taleban,Government of Afghanistan,Taleban,1,229421,35646,1995,2021,34
AFG,Afghanistan: Government,Government of Afghanistan - UIFSA,Government of Afghanistan,UIFSA,1,25785,911,1996,2001,24
AFG,Afghanistan: Islamic State,Government of Afghanistan - IS,Government of Afghanistan,IS,1,10693,1817,2015,2025,31
AFG,Afghanistan: Government,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Government of Afghanistan,Hizb-i Islami-yi Afghanistan,1,9580,302,1989,2016,24
AFG,Afghanistan: Government,Government of Afghanistan - Junbish-i Milli-yi Islami,Government of Afghanistan,Junbish-i Milli-yi Islami,1,9033,254,1993,1995,14
AFG,Government of Afghanistan - Civilians,Government of Afghanistan - Civilians,Government of Afghanistan,Civilians,4,7540,488,1992,2025,34
AGO,Angola: Government,Government of Angola - UNITA,Government of Angola,UNITA,1,30189,1447,1989,2013,18
AGO,UNITA - Civilians,UNITA - Civilians,UNITA,Civilians,5,2351,268,1989,2002,16
AGO,Angola: Cabinda,Government of Angola - FLEC-FAC,Government of Angola,FLEC-FAC,1,314,157,1989,2022,2
AGO,Government of Angola - Civilians,Government of Angola - Civilians,Government of Angola,Civilians,4,228,123,1989,2025,15
AGO,Angola: Cabinda,Government of Angola - FLEC-FAC-TN,Government of Angola,FLEC-FAC-TN,1,170,96,2010,2025,1
AGO,Angola: Cabinda,Government of Angola - FLEC-R,Government of Angola,FLEC-R,1,125,24,1991,2004,1
ALB,Serbia (Yugoslavia): Kosovo,Government of Serbia (Yugoslavia) - UCK,Government of Serbia (Yugoslavia),UCK,1,26,10,1999,1999,1
ARG,Los Monos - Civilians,Los Monos - Civilians,Los Monos,Civilians,5,209,197,2022,2025,1
ARG,Hezbollah - Civilians,Hezbollah - Civilians,Hezbollah,Civilians,5,86,1,1994,1994,1
ARM,Azerbaijan: Artsakh (Nagorno-Karabakh),Government of Azerbaijan - Republic of Artsakh,Government of Azerbaijan,Republic of Artsakh,1,382,76,1992,2023,12
AZE,Azerbaijan: Artsakh (Nagorno-Karabakh),Government of Azerbaijan - Republic of Artsakh,Government of Azerbaijan,Republic of Artsakh,1,13459,787,1991,2023,30
AZE,Republic of Artsakh - Civilians,Republic of Artsakh - Civilians,Republic of Artsakh,Civilians,5,774,2,1992,1992,1
AZE,Azerbaijan: Government,Government of Azerbaijan - Military faction (forces of Suret Husseinov),Government of Azerbaijan,Military faction (forces of Suret Husseinov),1,70,5,1993,1994,2
AZE,Azerbaijan: Government,Government of Azerbaijan - OPON Forces,Government of Azerbaijan,OPON Forces,1,46,6,1994,1995,2
BDI,Government of Burundi - Civilians,Government of Burundi - Civilians,Government of Burundi,Civilians,4,27525,1059,1991,2025,21
BDI,Burundi: Government,Government of Burundi - Palipehutu-FNL,Government of Burundi,Palipehutu-FNL,1,4897,548,1993,2008,9
BDI,Hutu - Tutsi,Hutu - Tutsi,Hutu,Tutsi,2,4255,256,1993,1996,16
BDI,Burundi: Government,Government of Burundi - CNDD-FDD,Government of Burundi,CNDD-FDD,1,2839,311,1998,2004,16
BDI,Burundi: Government,Government of Burundi - CNDD,Government of Burundi,CNDD,1,2360,195,1994,2003,14
BDI,FRODEBU - Civilians,FRODEBU - Civilians,FRODEBU,Civilians,5,1960,54,1993,1993,8
BEL,IS - Civilians,IS - Civilians,IS,Civilians,5,35,3,2016,2023,2
BEN,Benin: Government,Government of Benin - JNIM,Government of Benin,JNIM,1,296,82,2020,2025,4
BEN,JNIM - Civilians,JNIM - Civilians,JNIM,Civilians,5,37,13,2023,2025,3
BFA,Burkina Faso: Government,Government of Burkina Faso - JNIM,Government of Burkina Faso,JNIM,1,12300,1509,2017,2025,25
BFA,JNIM - Civilians,JNIM - Civilians,JNIM,Civilians,5,3145,356,2018,2025,18
BFA,Government of Burkina Faso - Civilians,Government of Burkina Faso - Civilians,Government of Burkina Faso,Civilians,4,2647,154,2014,2025,14
BFA,Burkina Faso: Islamic State,Government of Burkina Faso - IS,Government of Burkina Faso,IS,1,1803,215,2017,2025,4
BFA,IS - Civilians,IS - Civilians,IS,Civilians,5,992,126,2017,2025,5
BFA,IS - JNIM,IS - JNIM,IS,JNIM,2,602,51,2019,2025,5
BGD,Opponents of Hasina - Supporters of Awami League,Opponents of Hasina - Supporters of Awami League,Opponents of Hasina,Supporters of Awami League,2,361,42,2024,2024,7
BGD,PCJSS - Civilians,PCJSS - Civilians,PCJSS,Civilians,5,252,58,1989,2003,1
BGD,Supporters of Awami League - Supporters of BNP,Supporters of Awami League - Supporters of BNP,Supporters of Awami League,Supporters of BNP,2,210,161,1989,2025,8
BGD,Government of Bangladesh - Civilians,Government of Bangladesh - Civilians,Government of Bangladesh,Civilians,4,183,26,1990,2024,6
BGD,Bangladesh: Chittagong Hill Tracts,Government of Bangladesh - PCJSS,Government of Bangladesh,PCJSS,1,146,60,1989,2022,1
BGD,Bangladesh: Government,Government of Bangladesh - PBCP-J,Government of Bangladesh,PBCP-J,1,121,99,2004,2019,3
BHR,Government of Bahrain - Civilians,Government of Bahrain - Civilians,Government of Bahrain,Civilians,4,37,44,1995,2012,7
BIH,Bosnia-Herzegovina: Serb,Government of Bosnia-Herzegovina - Serbian Republic of Bosnia-Herzegovina,Government of Bosnia-Herzegovina,Serbian Republic of Bosnia-Herzegovina,1,34544,5525,1992,1995,0
BIH,"Serbian irregulars, Serbian Republic of Bosnia-Herzegovina - Civilians","Serbian irregulars, Serbian Republic of Bosnia-Herzegovina - Civilians","Serbian irregulars, Serbian Republic of Bosnia-Herzegovina",Civilians,5,12440,199,1992,1995,0
BIH,Bosnia-Herzegovina: Croat,Government of Bosnia-Herzegovina - Croatian Republic of Bosnia-Herzegovina,Government of Bosnia-Herzegovina,Croatian Republic of Bosnia-Herzegovina,1,8657,1845,1992,1994,0
BIH,Croatia: Serb,Government of Croatia - Serbian Republic of Krajina,Government of Croatia,Serbian Republic of Krajina,1,4383,1213,1992,1995,0
BIH,Bosnia-Herzegovina: Bihaca Krajina,Government of Bosnia-Herzegovina - Autonomous Province of Western Bosnia,Government of Bosnia-Herzegovina,Autonomous Province of Western Bosnia,1,2100,453,1992,1995,0
BIH,Serbian Republic of Bosnia-Herzegovina - Civilians,Serbian Republic of Bosnia-Herzegovina - Civilians,Serbian Republic of Bosnia-Herzegovina,Civilians,5,767,15,1992,1992,0
BOL,Laime - Qaqachaca,Laime - Qaqachaca,Laime,Qaqachaca,2,52,10,1998,2000,2
BRA,Comando Vermelho - GDE,Comando Vermelho - GDE,Comando Vermelho,GDE,2,10186,1043,2017,2025,1
BRA,Comando Vermelho - PCC,Comando Vermelho - PCC,Comando Vermelho,PCC,2,2885,2486,2015,2025,19
BRA,"Bonde dos 13, PCC - Comando Vermelho","Bonde dos 13, PCC - Comando Vermelho","Bonde dos 13, PCC",Comando Vermelho,2,785,734,2016,2025,1
BRA,Cartel do Norte - Comando Vermelho,Cartel do Norte - Comando Vermelho,Cartel do Norte,Comando Vermelho,2,711,655,2021,2024,1
BRA,"GDE, PCC - Sindicato do Crime","GDE, PCC - Sindicato do Crime","GDE, PCC",Sindicato do Crime,2,668,622,2019,2025,2
BRA,Bonde dos 40 - PCC,Bonde dos 40 - PCC,Bonde dos 40,PCC,2,542,506,2019,2025,2
CAF,anti-Balaka - Civilians,anti-Balaka - Civilians,anti-Balaka,Civilians,5,2388,240,2013,2022,16
CAF,Central African Republic: Government,Government of Central African Republic - CPC,Government of Central African Republic,CPC,1,1899,300,2020,2025,19
CAF,Government of Central African Republic - Civilians,Government of Central African Republic - Civilians,Government of Central African Republic,Civilians,4,1806,201,1991,2025,30
CAF,FPRC - Civilians,FPRC - Civilians,FPRC,Civilians,5,1399,198,2013,2020,13
CAF,UPC - Civilians,UPC - Civilians,UPC,Civilians,5,1003,141,2014,2021,12
CAF,anti-Balaka - UPC,anti-Balaka - UPC,anti-Balaka,UPC,2,870,85,2014,2020,7
CAN,Hells Angels - Rock Machine,Hells Angels - Rock Machine,Hells Angels,Rock Machine,2,93,35,1994,2001,1
CHN,Government of China - Civilians,Government of China - Civilians,Government of China,Civilians,4,2667,18,1989,2008,8
CHN,Han Chinese - Uighur,Han Chinese - Uighur,Han Chinese,Uighur,2,187,3,2009,2009,2
CHN,China: East Turkestan,Government of China - ETIM,Government of China,ETIM,1,64,14,1990,2017,1
CIV,Government of Ivory Coast - Civilians,Government of Ivory Coast - Civilians,Government of Ivory Coast,Civilians,4,924,157,1990,2020,15
CIV,Ivory Coast: Government,Government of Ivory Coast - MPCI,Government of Ivory Coast,MPCI,1,580,19,2002,2002,6
CIV,FRGO - Civilians,FRGO - Civilians,FRGO,Civilians,5,324,21,2010,2013,3
CIV,Burkinabé - Guéré,Burkinabé - Guéré,Burkinabé,Guéré,2,296,22,1996,2011,4
CIV,AJPSN - Civilians,AJPSN - Civilians,AJPSN,Civilians,5,208,36,2004,2011,2
CIV,FRCI - Civilians,FRCI - Civilians,FRCI,Civilians,5,206,14,2005,2011,4
CMR,Cameroon: Ambazonia,Government of Cameroon - Ambazonia insurgents,Government of Cameroon,Ambazonia insurgents,1,3133,896,2017,2025,4
CMR,Cameroon: Government,Government of Cameroon - JAS,Government of Cameroon,JAS,1,1154,200,2015,2025,2
CMR,JAS - Civilians,JAS - Civilians,JAS,Civilians,5,1120,419,2013,2025,2
CMR,Nigeria: Government,Government of Nigeria - JAS,Government of Nigeria,JAS,1,969,39,2014,2014,1
CMR,Cameroon: Islamic State,Government of Cameroon - IS,Government of Cameroon,IS,1,763,140,2015,2025,1
CMR,Government of Cameroon - Civilians,Government of Cameroon - Civilians,Government of Cameroon,Civilians,4,613,235,1990,2025,13
COD,Government of Rwanda - Civilians,Government of Rwanda - Civilians,Government of Rwanda,Civilians,4,21272,239,1994,2025,13
COD,Government of DR Congo (Zaire) - Civilians,Government of DR Congo (Zaire) - Civilians,Government of DR Congo (Zaire),Civilians,4,12175,1224,1989,2025,35
COD,IS - Civilians,IS - Civilians,IS,Civilians,5,9916,1406,2018,2025,3
COD,AFDL - Civilians,AFDL - Civilians,AFDL,Civilians,5,8273,68,1996,1997,6
COD,"Government of Burundi, Government of Rwanda - Civilians","Government of Burundi, Government of Rwanda - Civilians","Government of Burundi, Government of Rwanda",Civilians,4,6051,19,1996,1998,2
COD,DR Congo (Zaire): Government,Government of DR Congo (Zaire) - AFDL,Government of DR Congo (Zaire),AFDL,1,5754,44,1996,1997,7
COG,Congo: Government,Government of Congo - Cobras,Government of Congo,Cobras,1,9971,29,1994,1997,2
COG,Congo: Government,Government of Congo - Ntsiloulous,Government of Congo,Ntsiloulous,1,3823,65,1998,2017,4
COG,Government of Congo - Civilians,Government of Congo - Civilians,Government of Congo,Civilians,4,1226,64,1992,2005,6
COG,Congo: Government,Government of Congo - Cocoyes,Government of Congo,Cocoyes,1,305,21,1997,1999,5
COG,Congo: Government,Government of Congo - Ninjas,Government of Congo,Ninjas,1,166,13,1993,1998,2
COG,Ntsiloulous - Civilians,Ntsiloulous - Civilians,Ntsiloulous,Civilians,5,127,21,1998,2003,4
COL,Colombia: Government,Government of Colombia - FARC,Government of Colombia,FARC,1,20932,4457,1989,2020,33
COL,AUC - Civilians,AUC - Civilians,AUC,Civilians,5,10495,4658,1989,2018,29
COL,Colombia: Government,Government of Colombia - ELN,Government of Colombia,ELN,1,4067,1462,1989,2025,27
COL,FARC - Civilians,FARC - Civilians,FARC,Civilians,5,3019,1445,1989,2021,31
COL,AUC - FARC,AUC - FARC,AUC,FARC,2,2825,260,1997,2006,24
COL,Government of Colombia - Civilians,Government of Colombia - Civilians,Government of Colombia,Civilians,4,1752,1051,1989,2025,33
COM,Comoros: Anjouan,Government of Comoros - MPA/Republic of Anjouan,Government of Comoros,MPA/Republic of Anjouan,1,56,2,1997,1997,1
COM,MPA/Republic of Anjouan - MPA - SOC,MPA/Republic of Anjouan - MPA - SOC,MPA/Republic of Anjouan,MPA - SOC,2,40,3,1998,1998,1
COM,Comoros: Government,Government of Comoros - Presidential guard,Government of Comoros,Presidential guard,1,29,2,1989,1989,1
CRI,Forces of Tony Peña - Los Hondureños,Forces of Tony Peña - Los Hondureños,Forces of Tony Peña,Los Hondureños,2,154,140,2023,2025,1
CRI,Forces of Churro - Los Gemelos,Forces of Churro - Los Gemelos,Forces of Churro,Los Gemelos,2,58,58,2025,2025,1
DJI,Djibouti: Government,Government of Djibouti - FRUD,Government of Djibouti,FRUD,1,261,29,1991,1995,3
DJI,Somalia: Government,Government of Somalia - SNM,Government of Somalia,SNM,1,66,2,1989,1990,1
DJI,Government of Djibouti - Civilians,Government of Djibouti - Civilians,Government of Djibouti,Civilians,4,60,11,1991,1996,5
DJI,Djibouti: Government,Government of Djibouti - FRUD-C,Government of Djibouti,FRUD-C,1,52,11,1997,1999,3
DJI,Djibouti - Eritrea,Government of Djibouti - Government of Eritrea,Government of Djibouti,Government of Eritrea,1,35,2,2008,2008,1
DZA,Algeria: Government,Government of Algeria - GIA,Government of Algeria,GIA,1,10238,1289,1992,2004,44
DZA,Algeria: Government,Government of Algeria - AQIM,Government of Algeria,AQIM,1,6152,1873,1998,2023,45
DZA,Algeria: Government,Government of Algeria - AIS,Government of Algeria,AIS,1,2477,652,1992,1999,39
DZA,GIA - Civilians,GIA - Civilians,GIA,Civilians,5,1457,190,1993,2004,28
DZA,AIS - GIA,AIS - GIA,AIS,GIA,2,344,12,1994,1999,6
DZA,AQIM - Civilians,AQIM - Civilians,AQIM,Civilians,5,261,118,2000,2019,24
ECU,Los Choneros - Los Lobos,Los Choneros - Los Lobos,Los Choneros,Los Lobos,2,872,624,2021,2025,7
ECU,Los Lobos  - R7,Los Lobos  - R7,Los Lobos,R7,2,107,9,2022,2025,5
ECU,"Los Choneros - Los Chone Killers , Los Lobos , Los Pipos, Los Tiguerones","Los Choneros - Los Chone Killers , Los Lobos , Los Pipos, Los Tiguerones",Los Choneros,"Los Chone Killers , Los Lobos , Los Pipos, Los Tiguerones",2,105,6,2021,2021,3
ECU,Los Chone Killers  - Latin Kings,Los Chone Killers  - Latin Kings,Los Chone Killers,Latin Kings,2,92,58,2023,2025,1
ECU,Los Lobos  - Los Saobox,Los Lobos  - Los Saobox,Los Lobos,Los Saobox,2,85,30,2024,2025,2
ECU,"Fatales, Los Aguilas - Los Lobos , Los Tiguerones","Fatales, Los Aguilas - Los Lobos , Los Tiguerones","Fatales, Los Aguilas","Los Lobos , Los Tiguerones",2,83,59,2023,2024,1
EGY,Egypt: Islamic State,Government of Egypt - IS,Government of Egypt,IS,1,3652,571,2014,2023,10
EGY,IS - Civilians,IS - Civilians,IS,Civilians,5,736,55,2015,2022,7
EGY,Egypt: Government,Government of Egypt - al-Gama'a al-Islamiyya,Government of Egypt,al-Gama'a al-Islamiyya,1,630,259,1992,2000,14
EGY,al-Gama'a al-Islamiyya - Civilians,al-Gama'a al-Islamiyya - Civilians,al-Gama'a al-Islamiyya,Civilians,5,207,105,1992,1998,6
EGY,Egypt: Government,Government of Egypt - Ansar Bayt al-Maqdis,Government of Egypt,Ansar Bayt al-Maqdis,1,184,24,2014,2014,6
EGY,Opponents of Morsi - Supporters of Morsi,Opponents of Morsi - Supporters of Morsi,Opponents of Morsi,Supporters of Morsi,2,160,62,2012,2014,15
ERI,Eritrea - Ethiopia,Government of Eritrea - Government of Ethiopia,Government of Eritrea,Government of Ethiopia,1,19788,21,1998,2016,4
ERI,Eritrea: Government,Government of Eritrea - EIJM - AS,Government of Eritrea,EIJM - AS,1,148,23,1993,2003,3
ESP,Spain: Basque,Government of Spain - ETA,Government of Spain,ETA,1,209,143,1989,2009,11
ESP,GICM - Civilians,GICM - Civilians,GICM,Civilians,5,191,1,2004,2004,1
ETH,Ethiopia: Government,Government of Ethiopia - TPLF,Government of Ethiopia,TPLF,1,307576,702,2020,2025,3
ETH,Eritrea - Ethiopia,Government of Eritrea - Government of Ethiopia,Government of Eritrea,Government of Ethiopia,1,78429,13,1998,2000,1
ETH,Ethiopia: Eritrea,Government of Ethiopia - EPLF,Government of Ethiopia,EPLF,1,43470,50,1989,1991,2
ETH,Ethiopia: Government,Government of Ethiopia - EPRDF,Government of Ethiopia,EPRDF,1,41269,99,1989,1991,6
ETH,Ethiopia: Government/Amhara,Government of Ethiopia - Fano,Government of Ethiopia,Fano,1,7281,899,2023,2025,5
ETH,Government of Ethiopia - Civilians,Government of Ethiopia - Civilians,Government of Ethiopia,Civilians,4,6911,1453,1989,2025,17
FRA,IS - Civilians,IS - Civilians,IS,Civilians,5,227,8,2015,2023,5
FRA,DZ Mafia - Yoda,DZ Mafia - Yoda,DZ Mafia,Yoda,2,50,44,2023,2024,1
GBR,United Kingdom: Northern Ireland,Government of United Kingdom - PIRA,Government of United Kingdom,PIRA,1,145,105,1989,1997,2
GBR,UDA - Civilians,UDA - Civilians,UDA,Civilians,5,100,86,1989,2009,1
GBR,al-Qaida  - Civilians,al-Qaida  - Civilians,al-Qaida,Civilians,5,52,1,2005,2005,1
GBR,United Kingdom: Northern Ireland,Government of United Kingdom - RIRA,Government of United Kingdom,RIRA,1,33,4,1998,2019,1
GEO,Georgia: Abkhazia,Government of Georgia - Republic of Abkhazia,Government of Georgia,Republic of Abkhazia,1,2180,144,1992,2011,4
GEO,Georgia: South Ossetia,Government of Georgia - Republic of South Ossetia,Government of Georgia,Republic of South Ossetia,1,782,48,1992,2008,3
GEO,Georgia: Government,Government of Georgia - Zviadists,Government of Georgia,Zviadists,1,223,40,1992,1993,5
GEO,Republic of Abkhazia - Civilians,Republic of Abkhazia - Civilians,Republic of Abkhazia,Civilians,5,126,8,1993,1995,2
GEO,Georgia: Government,Government of Georgia - National Guard and Mkhedrioni,Government of Georgia,National Guard and Mkhedrioni,1,56,8,1991,1992,1
