iso3,adm_1,code_id,events,deaths,lat,lon,conflicts,share
AFG,Laghman province,5,17,21,34.70941017647059,70.18366129411766,Taleban - Civilians,0.0053475935828877
AFG,Logar province,1,1048,5014,33.99469615171756,69.10544402480916,"Afghanistan - United Kingdom, United States of America; Afghanistan: Government; Afghanistan: Islamic State",0.9918892185954501
AFG,Logar province,2,2,1,33.8063225,68.92989800000001,IS - Taleban,0.00019782393669634025
AFG,Logar province,4,5,2,34.1558856,69.1217292,Government of Afghanistan - Civilians,0.0003956478733926805
AFG,Logar province,5,35,38,34.046401228571426,69.13115968571428,IS - Civilians; Taleban - Civilians,0.00751730959446093
AFG,Nangarhar province,1,3126,20334,34.228987038387714,70.45425716986564,"Afghanistan - Pakistan; Afghanistan - United Kingdom, United States of America; Afghanistan: Government",0.9530817904851183
AFG,Nangarhar province,2,74,612,34.19478068918919,70.44549728378378,IS - Taleban,0.028685258964143426
AFG,Nangarhar province,4,25,19,34.3749046,70.50987064,Government of Afghanistan - Civilians; Government of Pakistan - Civilians,0.000890555425357394
AFG,Nangarhar province,5,109,370,34.311653550458715,70.48272783486239,IS - Civilians; Taleban - Civilians,0.01734239512538083
AFG,Nimroz province,1,404,2263,31.401847806930697,62.67605445049505,Afghanistan: Government; Afghanistan: Islamic State; United States of America: Government,0.989938757655293
AFG,Nimroz province,4,2,0,30.8211495,62.365035000000006,Government of Afghanistan - Civilians,0.0
AFG,Nimroz province,5,21,23,31.537008523809526,62.752825571428566,Taleban - Civilians,0.010061242344706912
AFG,Nuristan province,1,254,2018,35.39037176771654,71.03564523228346,Afghanistan: Government; Afghanistan: Islamic State; United States of America: Government,0.9935992122107337
AFG,Nuristan province,2,1,1,35.227695,71.028372,IS - Taleban,0.0004923682914820286
AFG,Nuristan province,4,1,1,35.183452,70.796068,Government of Afghanistan - Civilians,0.0004923682914820286
AFG,Nuristan province,5,4,11,35.36264225,70.8134735,Taleban - Civilians,0.0054160512063023145
AFG,Paktika province,1,1031,5956,32.70933913094083,68.88162776430649,Afghanistan - Pakistan; Afghanistan: Government; Afghanistan: Islamic State,0.9783180026281209
AFG,Paktika province,2,1,0,32.389617,68.945449,Taleban - High Council of Afghanistan Islamic Emirate,0.0
AFG,Paktika province,4,14,9,32.815671928571426,68.75510142857142,Government of Afghanistan - Civilians; Government of Pakistan - Civilians,0.001478318002628121
AFG,Paktika province,5,29,123,32.82863182758621,68.75551744827587,Taleban - Civilians,0.020203679369250986
AFG,Paktya province,1,970,8183,33.62219289484536,69.38029110824742,"Afghanistan - Pakistan; Afghanistan - United Kingdom, United States of America; Afghanistan: Government",0.9866168314444177
AFG,Paktya province,2,2,9,33.7409535,69.483569,Hizb-i Islami-yi Afghanistan - Taleban; Taleban - High Council of Afghanistan Islamic Emirate,0.0010851217747769471
AFG,Paktya province,4,6,15,33.63416566666667,69.34486,Government of Afghanistan - Civilians,0.001808536291294912
AFG,Paktya province,5,40,87,33.616731975,69.330132875,IS - Civilians; Taleban - Civilians,0.01048951048951049
AFG,Panjsher province,1,107,847,35.34513189719626,69.6411643084112,Afghanistan: Government,0.9146868250539957
